"biopsysite","WholeGenomeDoubling"," 1p"," 1q"," 2p"," 2q"," 3p"," 3q"," 4p"," 4q"," 5p"," 5q"," 6p"," 6q"," 7p"," 7q"," 8p"," 8q"," 9p"," 9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"Hartwig Liver","Yes",2.916578,3.088463,2.780899,4.093262,2.889004,3.376373,3.015948,3.230543,4.389253,3.127635,4.180565,2.998185,4.112514,4.278942,1.694701,3.605116,3.66345,3.001719,3.041037,4.650353,3.094793,2.742466,4.89733,4.189946,4.244546,4.086464,2.169082,3.44579,3.07976,2.521244,3.148541,3.153418,2.101113,3.7332,2.687333,2.712467,4.009643,2.309384,2.328287
"Hartwig Liver","No",2.149002,2.347404,2.927333,2.865112,1.970356,1.979759,1.952173,1.943142,2.163471,2.000481,3.04214,2.751504,2.927991,2.881085,1.234171,3.499285,1.998334,2.00455,1.993588,2.012082,1.994234,1.987819,2.937196,2.009804,1.938676,1.990531,2.032147,2.00787,1.834177,2.041428,2.053896,1.998081,1.095388,2.002311,1.959205,2.04369,2.003846,1.93263,2.030991
"Hartwig Liver","Yes",2.2184,3.481216,3.045281,3.031223,2.054415,2.045441,2.913339,2.883092,2.956994,3.095746,3.037563,2.688372,3.8408,3.573279,2.180363,3.023071,2.9656,2.986171,3.936794,3.748006,2.0706,2.036254,2.135254,2.999096,5.665902,2.12485,3.842691,2.947496,2.962584,1.9712,1.967009,2.048205,1.971116,2.6744,2.692372,2.103609,3.879787,3.450045,1.970259
"Hartwig Liver","Yes",2.099826,2.081914,2.148053,2.127475,2.819401,3.061958,1.123039,1.445074,3.577803,1.687139,3.196997,3.306001,3.938239,2.893313,1.154878,2.134103,2.347639,2.281849,2.346797,2.343557,2.920293,2.90364,3.072911,2.626796,4.361762,1.747585,1.986411,2.678627,1.798237,2.163,2.344264,1.577699,1.205343,2.235676,1.771255,2.019925,3.904034,1.231599,1.92654
"Hartwig Liver","Yes",3.011112,2.542628,3.485839,3.00483,2.520765,3.042124,2.1127,2.025439,2.318958,2.459955,3.029599,2.058065,4.0191,3.018332,1.379553,3.038872,3.885786,3.009749,1.305311,2.015325,2.326014,1.760295,3.107542,3.015519,3.970336,2.776918,2.016768,3.219803,3.923749,1.479063,1.976206,4.627552,1.106869,2.882795,3.321894,3.228148,2.938213,2.598197,1.953093
"Hartwig Liver","No",1.79198,1.985697,1.9987,2.184237,1.995016,1.971606,2.014258,1.945468,2.864483,1.990806,2.017851,1.953076,2.540157,2.352317,1.533358,4.150957,1.583491,1.024291,1.9846,1.989495,1.9898,1.969806,1.635782,1.99712,3.017463,1.528197,2.002721,1.998422,1.965919,1.265208,1.978967,1.021153,0.989944,1.938734,1.901739,1.0438,6.228749,1.426339,1.982302
"Hartwig Liver","No",1.8214482,1.9972896,2.0137467,1.9977775,2.0091653,1.9800204,1.0513858,1.8979713,1.9828756,1.2297882,2.0154655,1.9713873,2.9886101,2.9609372,1.1560086,2.9559672,1.9988696,2.0019752,1.921995,1.8643044,2.0044611,1.9728262,1.9959002,1.9862903,3.0281452,1.9981905,2.0211095,1.9917805,1.980507,1.0346,1.0666577,1.0141914,0.991606,1.8316441,1.9143009,2.8505542,3.7370297,0.9869906,1.3444569
"Hartwig Liver","Yes",2.086952,3.035496,3.094981,3.103848,3.746048,3.717154,2.045059,2.376338,3.50348,3.491174,3.6384,3.57013,4.139792,4.062295,2.457827,4.097658,4.024,4.001331,3.0795,3.072925,3.91169,3.859827,5.037853,3.039649,5.850107,2.988755,2.307256,3.929736,5.899835,2.304874,3.960389,2.075346,2.02146,3.4215,2.666811,5.0838,6.959019,2.939169,2.962649
"Hartwig Liver","Yes",2.428198,3.779434,3.279622,3.238766,2.839233,3.0066,1.753133,1.973474,3.947185,2.769312,3.008724,3.688854,5.777692,3.870629,2.025895,3.511923,1.993965,2.211704,5.649232,2.697831,3.963131,3.898487,2.849521,2.96766,4.117196,3.344079,3.237094,2.747982,3.16857,1.988246,2.198161,6.633253,2.125341,2.795718,3.168567,2.467152,4.994232,2.550059,2.482536
"Hartwig Liver","No",2.024057,2.012025,2.015447,2.015269,2.002018,2.001668,1.981379,1.982233,1.952072,2.007688,2.026025,1.625649,3.002688,2.95839,1.88914,2.832813,2.996224,2.848915,2.00322,2.015899,2.016993,1.991772,2.025138,2.012518,1.974612,1.996785,2.012202,1.999574,1.982251,1.994476,1.996533,2.000101,1.97151,1.970846,1.838657,2.030853,1.969698,1.946665,1.981935
"Hartwig Liver","Yes",2.278936,3.050946,2.063213,2.414696,2.02777,2.968034,2.012408,2.008985,3.90922,2.333871,2.815126,2.783348,2.997638,2.820756,1.844289,4.696137,2.371004,2.879621,2.007932,2.36846,3.963375,2.106865,2.856558,2.840037,4.230222,1.96153,3.109715,3.045642,2.928198,1.9875,2.432817,2.684229,2.005863,2.931136,2.87598,3.981102,3.955899,1.952921,1.967175
"Hartwig Liver","Yes",1.832623,3.012465,2.93264,2.962239,2.917916,2.976165,1.993224,2.076187,3.098663,1.99977,2.379534,2.523537,3.907504,3.819559,1.9359,2.004551,3.0103,2.805527,2.8274,2.878957,1.984401,1.901663,2.840387,2.756741,4.955538,1.934382,1.852902,1.659052,1.821199,2.5524,2.601283,1.97468,2.011937,2.392429,2.41045,3.833374,3.473995,1.890406,1.584155
"Hartwig Liver","No",1.0316281,2.9679845,2.0115996,2.0026683,2.0072733,1.9816826,1.7262816,1.9898421,2.0040519,2.0060058,2.0050192,1.9876723,2.0136601,1.99104,1.989,1.9882398,2.0077667,1.9940464,1.9993,2.0058593,1.9889,1.9643044,2.0061081,2.0012712,3.4138308,2.000596,1.9984457,1.9894294,1.984882,1.9788,1.97124,1.0114786,0.9997951,1.8071,1.7828522,3.0213135,2.9302407,1.9496946,0.9902315
"Hartwig Liver","Yes",4.301158,5.781325,5.124689,5.896884,3.085172,5.127203,4.83728,4.772559,4.919462,5.006172,6.8968,6.265603,5.989329,5.941302,3.099771,3.972748,5.970183,4.959211,6.039565,5.797471,3.0414,3.020381,3.9684,3.797551,9.612621,3.048328,3.988049,5.961409,3.955669,4.126761,4.094638,3.060048,2.949538,6.105448,5.931461,8.060349,7.957731,2.885392,4.070114
"Hartwig Liver","Yes",2.390795,3.928217,3.856681,2.955638,2.057621,2.955159,1.992719,2.233938,3.88932,3.959587,3.020649,2.921821,3.950105,3.893829,1.987504,2.610153,1.990663,2.188678,2.95931,2.985071,2.011967,1.993842,3.0041,3.000889,4.814016,1.77859,2.855593,4.0217,3.955215,2.0132,2.029961,1.938511,1.298494,2.0353,2.82723,5.005467,4.919688,1.96041,2.023257
"Hartwig Liver","No",2.056483,2.006694,2.018483,1.321664,1.277548,2.810424,1.951505,1.962823,1.969604,2.003719,1.724529,1.251767,1.996722,1.976401,2.249782,4.195394,1.00538,1.287877,1.991193,1.936305,1.474266,1.967862,2.00389,2.005055,1.615831,2.331316,2.013803,1.983,1.949599,2.006038,2.003517,1.985074,1.945611,1.9969,1.932479,1.97367,1.961052,1.977278,1.961531
"Hartwig Liver","No",1.95885,1.97896,1.9844,1.973517,1.9467,1.939598,1.9436,1.945136,1.933011,1.958067,1.9985,1.949333,1.9969,1.909491,1.953571,1.954111,1.9314,1.962451,2.0373,1.981165,1.878264,1.931857,1.9835,1.930445,1.968786,1.954931,1.987948,1.9471,1.944691,1.955,1.921908,2.04276,1.952502,1.8779,1.870976,1.9859,1.905662,1.944923,1.903733
"Hartwig Liver","Yes",3.393719,3.463765,4.215041,4.094296,4.408447,5.094282,2.960768,2.829655,4.083008,3.771708,4.9521,4.71219,6.92209,4.158806,2.70816,5.26491,4.70718,4.09517,4.706735,4.118959,4.883285,4.83315,3.902599,3.979904,7.802968,2.790398,4.316667,4.741137,4.508159,2.300488,4.197948,2.478494,2.28792,3.575233,3.524681,5.86585,5.826338,3.759549,3.939548
"Hartwig Liver","Yes",3.195699,3.450293,5.175641,4.213917,4.897205,5.023464,3.453472,3.012144,3.936905,4.400209,5.520732,5.318163,8.574319,4.894557,3.151806,4.625057,3.027636,4.995444,4.523162,4.042776,4.69118,5.245758,4.226879,4.038001,9.608577,3.00403,4.333212,3.948575,3.986046,3.121901,4.349753,3.024276,2.962141,4.715749,4.993709,4.133682,5.942797,4.022659,3.963137
