"biopsysite","WholeGenomeDoubling"," 1p"," 1q"," 2p"," 2q"," 3p"," 3q"," 4p"," 4q"," 5p"," 5q"," 6p"," 6q"," 7p"," 7q"," 8p"," 8q"," 9p"," 9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"TCGA Liver","No",1.300408,2.503784,2,1.994538,1.99389,1.994955,1.014501,1.020424,1.994272,1.995866,1.995418,1.065628,1.99068,1.986389,1.365558,3.756619,1.015105,1.015427,2,1.997136,1,1.017471,1.020716,1.007324,1.739038,1.048337,1.977088,1.954176,1.935013,1.988046,1.99068,1,1.023389,1.825004,2.248533,2,1.985138,1.976433,1.962845
"TCGA Liver","No",3.947618,3.958759,2.007537,2.027851,2.990031,2.994512,2.014018,1.846518,3.439641,3.96093,2.990031,2.974132,2.994931,2.988155,1.151193,6.61279,2.014603,2.014913,2.017523,2.014603,2.988714,2.98919,1.297196,2.387897,2.151058,2.046728,2.066755,2.01947,2.025488,1.334823,2.662759,2,2.02261,2,2.041231,2,2.037888,2.060079,2.094719
"TCGA Liver","No",1.957493,2.790819,2,1.975321,2.002025,2.001672,2.001823,2.002567,2.001899,2.000685,2.984852,1.10877,2.984596,2.982003,1.33941,2.982179,2.001899,2.001939,2.002279,2.962131,2,2.002196,2.002604,1.68045,2.00279,2.006076,2.007595,1.03031,1.059517,2.003963,2.00309,2,2.00294,2,2.005361,2,2.004927,2.007812,2.012317
"TCGA Liver","No",1.924604,2.746161,1.998976,1.999159,1.999295,1.998835,1.998731,1.329869,1.999339,1.999046,1.998413,1.900652,1.997849,2.859187,1.420812,1.998756,1.374339,1.998312,2,1.529597,1.999401,2.902467,1.998187,1.908129,1.059605,1.997179,1.996978,1.999118,1.997692,1.733611,2.114879,2,1.998976,1.997559,2.203082,2,1.997427,1.082994,1.995712
"TCGA Liver","No",2.634525,2.965154,2.002621,2.004842,2.004062,2.002236,2.004875,2.005149,2.981706,2.986795,2.002031,1.273298,2.002066,2.004827,2.960972,2.982782,2.007617,2.003889,2,2.003808,2,2.007342,1.09616,2.392455,2.004974,1.074791,1.846391,2.003385,2.004432,2.005299,2.463824,2,2.003931,2.009375,1.613326,2,2.006588,1.128214,2.016469
"TCGA Liver","No",2.001299,2.001279,2,2.000711,2.00179,2.000985,2.001074,1.959638,1.980286,2.000404,2.000895,2.000959,2.983961,2.95209,2.001194,2.001053,2.001119,2.001143,2,2.000559,2,2.001294,2.001535,2.000543,2.001644,2.004177,2.004476,2.001492,2.001953,2.002335,2.001821,2,2.001733,2,2.003159,2,2.002903,2.004604,2.007258
"TCGA Liver","No",2.007807,3.556739,2,2.001832,2.003073,2.003806,2.002766,2.003896,2.982048,2.987042,2.002305,2.00247,2.002344,2.002739,1.126478,2.250525,2.002881,2.002943,2,2.001441,2,2.003333,2.003951,2.001397,2.004234,2.00922,2.011525,2.003842,2.007544,1.371879,2.97079,2,2.004461,2,2.008135,1.116233,2.007476,2.011854,2.018689
"TCGA Liver","No",1.999158,1.999172,2,1.999539,1.999227,1.999362,1.998609,1.99902,1.999275,1.42053,1.99942,1.999379,1.99941,1.998967,1.999227,1.999318,2.124275,1.99926,1.99913,1.999275,2,1.999162,1.999006,1.999649,1.998935,1.997681,1.997101,1.999034,1.998735,1.170888,2.438909,1,1.804207,2,1.997954,2,1.99812,1.997018,1.940305
"TCGA Liver","No",1.992255,2.000377,2.000681,2.000524,2.000352,3.174457,2.000158,1.655543,2.000165,2.007757,2.017194,2.000212,2.000134,2.010214,1.289241,2.000233,2.000165,2.000505,2.000198,1.958581,2.019316,2.000667,2.000226,2.010421,1.337381,2.01199,1.703229,2.75044,2.018613,1.34817,1.881892,2,2.000255,2.000304,2.000465,1.557021,2.973401,2.857821,2.083647
"TCGA Liver","No",2.000636,2.000626,2,2.000348,2.000584,2.000482,2.000526,2.00074,2.000547,2.000198,2.000438,2.000469,2.000445,2.00052,2.000584,2.000515,2.229714,2.979282,2,2.000274,2,2.000633,2.000751,2.000265,2.000804,2.001752,2.00219,2.00073,2.000956,2.001142,2.000891,2,2.000848,2,2.001546,2,2.00142,2.002252,1.166423
"TCGA Liver","No",2.041275,4.571906,2.006115,3.016755,2.012637,2.020869,2.011373,2.016019,3.970181,3.922602,2.590201,2.043244,3.97574,2.257235,1.101526,3.457902,2.577209,2.012099,2.125,2.017771,2.01073,2.013703,1.134458,3.874236,2.986796,2.139438,2.047389,2.015796,2.031018,1.78858,3.95148,2,2.018344,2.98341,2.478667,2.021062,2.876001,1.134458,2.13038
"TCGA Liver","No",2.026478,2.977877,2,2.000938,2.001574,2.0013,2.001417,2.001995,1.861544,1.808771,2.984514,1.207254,2.0012,2.001402,1.269814,3.776593,2.001476,2.001507,2,2.000738,2,2.001707,2.002024,2.000715,2.002168,2.004722,1.79246,2.001967,2.002575,2.003079,2.002401,2,2.002285,2,2.004166,2,2.003828,2.006071,2.009571
"TCGA Liver","No",2.418175,6.364549,4.930355,4.9775,3.076011,3.995624,3.99682,2.706229,3.993376,3.997012,5.896025,5.280746,3.998653,3.996852,2.233845,3.051809,3.019177,3.019585,4.973013,4.955021,3.9955,3.997127,3.995458,3.682051,2.078388,3.081823,3.970512,3.076709,3.066946,4.106241,4.871925,3.990648,2.348428,4.48777,4.904751,4.840075,4.883298,3.338315,3.995703
"TCGA Liver","No",3.812589,4.240226,4.97047,3.904022,2.123714,3.057509,3.985074,3.976349,3.692785,3.98036,3.923132,2.270254,4.976726,4.918426,2.18076,2.047848,3.955844,3.283421,3.981342,3.147231,3.992959,3.992625,2.368015,3.988692,2.229667,3.987561,3.079067,4,3.966077,2.402334,3.968377,4,3.987963,4,3.989025,3.986179,3.969744,3.989338,3.899147
"TCGA Liver","No",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"TCGA Liver","No",2.00682,2.004474,2.003031,1.997111,2.004698,2.010345,2.002819,1.442575,2.946309,2.987082,2.004698,2.003775,2.956319,1.43272,1.380612,2.991578,1.404642,2.002999,2.003524,2.005873,3.048373,1.30444,2.175456,2.956613,2.002876,2.952275,2.006712,1.063386,1.020744,2,2.011944,2,2.004547,2.933919,2.974734,2.968183,2.953565,2.008054,2.883911
"TCGA Liver","No",2.006871,3.265642,2.002748,2.001129,2.000947,2.007817,2.003408,2.018285,2,2.000641,2.00568,2.003804,2.002888,2.002531,1.690782,2.817067,2.00355,2.000906,2,2.005325,2.003215,2.002053,2.002434,2.000861,2.001739,2.004733,2.005072,2,2.004647,2.003704,2.005776,2,2.002748,2.003277,2.007518,2.006311,2.011514,2.002434,2.009211
"TCGA Liver","No",1.17702,3.5106,1.996694,1.997285,1.996584,1.995299,1.995901,1.078734,1.993595,1.883366,2.963251,1.11951,1.998263,1.997971,1.235335,1.997991,1.989325,1.977106,2,1.996798,2.201747,1.996296,1.50843,2.966592,1.036634,1.049862,1.99146,1.099725,1.212142,1.043478,2.704917,2,1.993389,1.996059,1.993972,1.996205,1.991691,1.997072,1.991691
"TCGA Liver","No",2.013025,2.822642,2.002171,2.008022,2.00673,2.607443,2.004038,2.00853,2.008412,2.004554,2.016824,2.005408,3,2.984196,1.657904,2.992175,2.025236,2.045102,2,2.002103,2.011428,2.009729,2.005768,2.002039,2.01236,2.013459,2.904987,2.005608,2.022024,2.008778,2.945891,2,2.006512,2.007765,2.017814,2.007477,2.010913,2.005768,2.021826
"TCGA Liver","No",2.014968,2.842505,2.006652,2.006829,2.002291,2.007568,2,2.007261,2.884241,2.982095,2.920622,1.160992,3.939194,3.437994,1.178469,2.976654,2,2.002194,2.015467,2.006445,2.023346,2.012423,2.017676,2.004166,2.008417,2.01604,2.022095,2,2.007499,2.008966,2.006991,2,2.003326,2,2.012131,2,2.016721,2.005892,2.011147
"TCGA Liver","No",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"TCGA Liver","No",1.081492,4.384564,2.000565,2.000116,2.000389,2.001124,2.0414,1.028662,2.000365,2.000132,2.96725,1.697523,2,2.000347,1.623778,2.696593,2.000729,1.511197,2.000438,2.000182,2.586557,1.965121,2.0005,2.000354,1.296811,2.000972,2.000834,1.113056,1.0925,2.000761,2.000297,3,2.161855,2,2.000515,3,2.920338,2.0005,2.000946
"TCGA Liver","No",2.365125,4.490068,2.98841,2.991434,2.052296,2.035983,2.787066,2.016573,3.898703,3.972581,2.502296,2.992301,2.992693,2.989328,1.19827,4.850065,2.114397,2.191936,2.994611,2.995509,2.987798,2.987014,2.067237,2.007924,2.032018,2.04358,2.982036,2.04358,2.046707,2.005988,2.989039,2,2.025304,3,2.99366,2.039256,4.700599,2.987682,2.063603
"TCGA Liver","No",2.0007,2.001148,2.001244,2.000766,2.000643,2.001592,2.000578,2.002037,2.001808,2.000652,2.001928,2.001549,2,2.001432,2.001285,2.000284,2.000603,2.001231,2.000723,2.000603,2.001091,2.001045,2.002479,2.000584,2.000885,2.002249,2.001033,2.001607,2.001578,2.915558,2.967082,2,2.000933,2,2.001701,2.001071,2.003908,2.001653,2.003908
"TCGA Liver","No",1.99895,2.768808,1.998601,1.945943,1.998192,1.997911,1.999349,1.505438,1.997967,1.999021,1.997831,1.997386,2.964999,2.969331,2.862329,2.939263,1.999322,1.998269,1.999187,1.290989,1.997544,1.998824,1.997211,1.998685,1.039488,1.064498,1.069105,1.137081,1.434589,1.301519,1.998346,2,1.999475,1.07442,2.817788,2,1.998241,1.99907,2.050537
"TCGA Liver","No",2.021967,2.776327,2.007322,2.003608,2.003027,2.008746,2.005448,2.003836,2.011349,2.537931,2.00454,2.004864,2.002308,2.005394,1.176741,2.860916,2.002837,2.002898,2.00681,2.005675,2.007709,2.004923,2.95064,2.991275,1.566783,2.00908,2.012971,2,2.004952,2,2.004617,2,2.004393,2.005238,2.004006,2.936014,2.953308,2.003891,2.007362
"TCGA Liver","No",2.001908,2.756785,2.001272,2.000783,2.001314,2.003798,2.001183,2.00125,2.001232,2.001334,3.802957,1.143913,2.1037,2.200948,1.07061,3.00174,2.001232,2.001258,2,2.002464,2.002232,2.002138,2.00338,2.000597,2.001811,2.003286,2.002112,1.807199,1.056696,2,2.459632,2,2.000954,2,2.003479,2.002191,2.004796,2.00169,2.004796
"TCGA Liver","No",2.040927,2.930117,2.005457,2.010083,2.989055,2.954816,2,2.014296,2.989739,2.996297,2.050749,2.04078,4.593474,4.817054,1.155888,2.014926,2.917915,2.989521,2.025375,2.015859,2.972122,2.976265,2.028999,2.005126,2.015535,2.028194,2.946874,2.042291,2.027681,2,2.017203,2,2.016371,3,2.971029,2.963518,2.973378,2.971857,2.054864
"TCGA Liver","No",1.914503,1.875387,2.002142,2.002638,2.001107,2.002284,1.901992,2.001403,2.002075,2.798116,2.004979,1.921866,2.002532,2.001479,1.159982,3.061753,2.006224,2.001059,2,2.001556,2.003758,2.0024,2.007113,2.002012,2.001016,2.004426,2.004742,2.001383,2.000905,1.784774,2.055067,2,2.003213,2,2.004394,2.003688,2.002692,2.002845,2.005383
"TCGA Liver","No",1.231796,1.951629,2.724945,1.030766,1.994984,1.792843,1.990971,1.09519,1.981189,1.991514,1.996238,2.642575,1.996174,1.988825,1.265965,1.812464,1.995297,1.992796,1.988713,1.990594,1.991482,1.385162,1.987101,1.99544,1.793293,1.984951,1.046087,1.626348,1.460415,1.178133,1.992348,1.986722,1.105622,1.991318,1.767561,1.99164,1.981697,1.980651,1.062778
"TCGA Liver","No",2.000589,2.000725,2.000393,2.000605,2.000812,2.000838,2.001096,2.000772,2.001141,2.000275,2.000913,2.000815,2.000619,2.862109,1.157585,2.000358,2.00038,2.000194,2,2.001141,2.001034,2.00044,2.000522,2.000369,2.000932,2.001623,2.001087,2.003044,2.00166,2.000794,2.001548,2,2.000589,2.000702,2.001074,2.000676,2.002962,2.001565,2.001974
"TCGA Liver","No",2.027329,3.620368,2.939665,2.96284,2.008367,2.017272,2.022592,2.071422,2.015689,2.005662,4.687653,2.013448,2.802992,2.158537,1.400273,2.867707,2.031378,2.080114,3.918827,2.023533,2.014209,2.022683,2.032274,2.015213,2.015369,2.020919,2.031378,2.041837,2.020538,2.032742,5.508683,2.022149,2.006073,2,2.055373,2.013946,2.03053,2.032274,2.020353
"TCGA Liver","No",4.009951,4.715551,4.870166,4.977102,4.97695,4.980968,4.00617,4.780116,4.006427,4.011597,6.597516,2.195763,7,6.840108,2.1026,3.731539,4.044988,4.003282,4,4.00964,4.011641,3.798,4.017628,4.006232,3.682913,4.013711,4.033053,4,4.016827,3.404717,4.976559,3,3.084419,4,4.009073,4.011426,4.016675,4.008814,4.03335
"TCGA Liver","No",1.993367,1.991514,1.995578,1.994553,1.989034,1.992455,1.99013,1.974819,1.993146,1.993198,1.973738,1.493391,1.973293,1.804552,1.148245,1.995968,1.967172,1.976376,2,1.991433,1.993793,1.993064,1.276315,1.995015,1.301087,1.762242,1.991188,1.974869,1.988037,2,2.094725,2,1.994694,1.993673,1.990324,1.830529,2.31321,1.9906,2.252487
"TCGA Liver","No",3.012097,5.333333,3.102151,3.049669,3.155556,3.09633,3.97,3.183099,4.135417,3.954887,3.516667,2.986607,3.983051,3.975248,1.533333,4.960784,3.09375,3.143617,3.95,3.989583,3.320755,3.066265,4.685714,3.959596,3.061224,2.944444,3.684524,3.125,3.045455,3.23913,2.949153,2.264706,2.072581,3.923077,4.426471,3.944444,3.959459,3.028571,3.905405
"TCGA Liver","No",1.808001,3.605207,2.979872,2.956611,1.478489,2.269217,2.001281,2.003607,2.980501,2.950738,2.458537,1.164144,2,2.001902,2.015652,2.001255,1.177338,1.190387,2,2.003335,2.001208,2.003086,2,2.00194,1.021715,1.082758,2.003811,2.001779,2.002328,2.008352,2.004341,2,2.003098,2,2.00565,2.002371,2.003461,1.030401,2.006922
"TCGA Liver","No",2.096214,6.067761,3.002729,3.002241,3.00376,3.003105,2.021692,2.03819,3.961858,3.979352,4.540383,2.064011,3,3.00335,3.037262,4.962443,3.010575,3.0189,3.006345,3.000881,3.006385,3.003058,3,2.550582,2.637833,2.616751,2.051648,3.00705,3.006153,3,3.853193,2.0638,2.017494,3.003254,3.012441,3.966096,3.950519,2.123954,2.114967
"TCGA Liver","No",2.008049,3.5802,2.005962,2.002938,2.002464,2.006105,2.002218,1.917042,2.00231,2.000834,2.007393,2.003961,2.003759,2.320126,2.009858,2.801729,2,2.003539,2,2.001155,2.01674,2.010689,2.003169,2.00224,2.005658,2.007393,1.981472,2.024645,2.008066,2.004822,2.007519,2,2.005366,2,2.009785,2.004107,2.005995,2.009506,2.008992
"TCGA Liver","No",1.630736,2.001677,2.000909,2.001959,2.003757,2.001939,2.001691,2.002381,2.003522,2.001271,2.720893,2.002264,2.002149,2.714545,2.002818,2.903204,1.98445,2.002248,2.004226,2.002201,2.002392,2.002546,2.002415,1.416276,2.255965,1.469484,1.978203,2.00587,2.003842,1.181263,2.918836,2,2.002727,2.004877,2.002486,2.004696,2.003427,2.001208,2.006854
"TCGA Liver","No",3.974438,3.974843,3.615135,3.808198,3.006919,3.015234,3,2.120251,3.008649,3.006243,5.500631,2.193398,2,2.095649,1.498114,3.876822,3.676892,2.334009,3.980189,3.983491,3.007833,3.025008,3.005931,3.004193,3.506354,3.938366,2.903192,3.011532,3.007548,2.922068,3.973138,3,2.416617,3.02395,3.02442,3.970651,3.957166,3.017792,3.935749
"TCGA Liver","No",1.733341,2.951598,2,1.999565,1.999635,1.971572,2,1.104824,1.999315,2.570934,1.999452,1.999413,2,1.999349,1.218935,1.891996,1.997603,1.996328,1.999589,1.999829,2.300956,1.999208,1.998591,1.999668,1.999665,1.998539,1.998826,1.609285,1.763039,1.086242,1.999721,1,2.095714,2,1.998066,1.999391,2.322992,1.99953,1.999112
"TCGA Liver","No",2.019085,2.048833,2.007634,2.017239,2.015777,2.023882,2.004733,2.006666,2.00493,2.688745,2.910943,1.151309,2.974124,2.954652,1.69822,6.302875,2.00493,2.015105,2.005916,2.014791,2.00893,2.011405,2.033807,2.007171,2.016904,2.021036,2.046348,2.013147,2.025816,2,2.020055,1.145488,2.187148,2.018204,2.00696,2.01753,2.012792,2.020284,2.038376
"TCGA Liver","No",2.995697,5.367191,2.020071,2.005298,2.998518,2.993881,2.018666,2.032863,2.994442,2.998496,5.744442,2.041666,3.98192,3.936632,2.994072,2.999346,2.155551,2.029786,3,2.997221,2.997483,2.997589,2.026666,2.028282,5.037414,2.072591,2.972221,2.990737,2.997575,2.849251,3.927682,2,2.030107,2.071793,2.0549,2.99753,2.996395,2.026666,2.99279
"TCGA Liver","No",2.015428,3.637681,1.992987,2.003455,2.003865,2.007978,1.046957,1.107471,2.98279,2.975155,2.836232,2.004658,2.971997,2.807146,2.003865,2.598465,2.014493,2.037003,2.004348,2.005435,2,2.006286,2.004969,2.00527,1.859361,2.124638,1.988613,1.949275,1.106719,1.769376,2.008843,3,2.973352,2,2.025575,2.006441,2.009401,2.019876,2.009401
"TCGA Liver","No",3.985656,3.992158,4.249564,3.990838,4.206983,5.145085,2.684664,2.250988,6.866765,4.96407,3.990119,3.992942,3.99665,3.996087,1.373649,5.870728,2.783432,3.993693,3.020059,3.016716,3.988813,3.990476,3,3.024314,2.036783,3.035661,3.014399,3.47837,2.458785,2.504554,3.993301,4,3.996812,4.417299,6.623808,4.726101,3.989317,3.04585,3.983976
"TCGA Liver","No",1.960934,2.861625,2.001675,2.000903,2.000216,2.001608,2.000389,1.924044,2,2.790206,2.351298,1.072472,2.847458,2.230229,1.311544,2.755475,1.815746,2.000207,2.000487,1.501623,3.246753,2.0248,1.459368,2.071297,1.521203,1.490187,1.525432,2.001623,1.296574,1.17476,2.00066,2.001145,2.000314,1.462287,2.000573,2.891053,2.002631,2.000556,2.002105
"TCGA Liver","No",3.038808,3.534689,3.96998,3.984592,3.023764,2.924246,3.953469,3.6405,3.970918,3.986006,4.718979,2.126858,4.975164,4.912952,4.902313,6.55038,3.011139,3.017065,3,3.027848,3.060531,2.508532,3.986705,3.976499,2.674592,2.630476,3.062002,3.779705,2.139517,4,3.97634,2,2.099012,3.04113,3.062905,4.891458,4.920794,2.043848,3.028902
"TCGA Liver","No",2.423815,3.663693,2.011942,2.012258,2.01234,2.013585,2.007404,2.015642,2.934396,2.981059,2.947517,2.966261,2.018824,2.010996,1.091347,4.742177,2.007713,2.011815,2,2.011569,2.01397,2.008921,2.010577,2.007479,2.007555,2.020567,2.017629,2.010283,2.020193,1.119148,4.732563,2,2.005971,2,2.010888,2.027422,2.030016,2.042309,2.914892
"TCGA Liver","No",1.922322,2.00073,2.000742,2.000761,2.001277,2.001055,2,2.001295,2.002395,2.000692,2.001533,2.001437,2.00039,2.000911,2.002555,2.001578,2.000479,2.000734,2.000575,2.000479,2.001735,2.001385,2.001971,2.718565,2.000938,2.002044,2.002737,2.001277,2.001254,2.001999,2.001169,2,2.001483,2.001769,2.001353,2.001703,2.001864,2.003285,2.001243
"TCGA Liver","No",1.993791,2.762967,1.996896,1.994901,1.993584,2.559979,1.992301,1.044552,1.99599,1.998553,1.993584,1.994845,2,1.925349,1.991446,2.102551,1.997995,1.998976,1.995188,1.993985,1.996369,1.991884,1.989002,1.998056,1.082999,1.993584,1.064555,1.100418,1.049296,1.086957,1.993476,2,1.992239,1.562118,1.991509,1.996436,1.994798,1.989002,1.992197
"TCGA Liver","No",2.000392,2.771084,2.000232,2.000215,2,2.000396,1.682701,1.106014,2.000113,2.000203,2.383783,2.000289,2.610261,2.000321,1.133933,4.225808,2.000675,2.001322,2.500135,1.635698,2.000306,2.000325,2,2.000055,1.020518,2.00042,1.976576,1.945645,1.07312,1.261809,1.898671,2,2.000261,2,2.059459,2.0004,2.000438,2.000154,2.000438
"TCGA Liver","No",2.492934,6.800252,4.001331,4.006475,3.884021,3.990622,3.368318,2.227096,3.993915,3.455353,5.856931,4.939711,4,3.989879,3.196261,5.957921,4.473082,3.998446,3.996349,4.950728,3.988979,3.996481,3.024399,3.025878,2.623712,3.047443,3.94195,2.051499,2.134834,3.987302,3.992575,2,2.119611,4,3.98282,4.502293,3.984213,3.024399,3.98816
"TCGA Liver","No",4.081803,4.944225,3.992633,3.991109,3.996194,3.957017,3.993149,3.991557,3.989295,3.990985,3.988581,3.989295,4,3.994913,3.018416,4.766114,3,3.008816,3,3.03453,4,2.971443,4,3.99827,3.285432,3.94604,3.963956,4.027009,2.531992,4,3.997097,5,2.669132,2.211006,3.974812,3.987313,3.990742,3.995106,3.967596
"TCGA Liver","No",2.131344,3.751137,3,2.997638,3,2.995637,2.052866,2.01241,3,2.998212,4,2.387549,3.981036,3.955687,2.05874,3.494172,2.995046,2.99747,2.947028,2.998761,2.033249,2.021231,2.996603,2.997598,2.017982,2.990752,3.93623,2.024475,2.03204,2.984491,2.997985,2,2.014211,2.067777,3.901274,3.958559,3.939519,2.075523,2.99036
"TCGA Liver","No",1.997739,2.778791,1.987907,1.998556,1.998961,1.998285,1.999377,1.745162,1.997404,1.999532,2.347404,1.998053,1.998944,1.997532,1.132641,2.096207,2,1.999337,1.999221,1.081386,2.50767,1.998874,1.99911,1.999685,1.774239,1.997231,1.997404,1.994807,1.299461,1.474197,1.998944,2.233461,1.997487,1.650251,1.999084,1.998846,2.051528,1.99822,1.998316
"TCGA Liver","No",2.002791,3.546925,2.119971,2.000625,2.002098,2.342336,2.000629,1.262115,1.8809,2.001183,2.002098,2.001124,2.000533,2.695873,1.358353,2.344371,1.567089,2.225078,2,2.000328,2.001781,2.001137,2.000899,2.000318,1.042101,1.268415,1.694222,2.730963,1.300063,2.002736,2.917921,2,2.001523,2.00242,2.003702,1.520849,2.895294,2.002697,2.003402
"TCGA Liver","No",2.032761,4.831594,2.026209,2.018832,2.027083,2.018635,2,2.014304,2.029297,2.246945,2.95052,2.803846,3,2.976485,2.907637,3.568933,2.008463,2.004322,2.010156,2.008463,2.053654,2.04405,2.011607,2.008207,2.104591,2.027083,1.99107,2.934026,2.956817,2.035325,2.027542,2,2.026209,2.931489,2.912682,2.978009,2.93581,2.023214,2.032938
"TCGA Liver","No",2.97068,3.977964,3.152053,2.822672,3.976862,3.955422,2.130585,2.110354,3.985539,3.979123,3.953723,3.084347,3.97647,3.958763,3.223522,3.979584,2.027205,2.183228,3.007646,3.019116,3.947611,3.941457,3.017477,3.003089,3.07995,3.033983,3.950418,2.181368,2.332398,2.926341,3.964704,4,3.977608,2.446604,2.25086,3.974291,3.962478,3.026216,3.924957
"TCGA Liver","No",1.985365,1.968794,1.991869,1.993991,1.993279,2.080106,1.993951,1.089659,2.88008,1.993178,1.982356,1.993249,1.994874,1.989519,1.986557,1.988139,1.996849,1.996782,1.988658,1.097255,1.988586,1.065001,1.995679,1.995417,1.42643,1.560974,1.976595,1.974795,1.580752,1.575819,1.984621,1.588235,1.119275,1.98255,1.324529,2.872085,2.7822,1.978396,1.975476
"TCGA Liver","No",1.076736,2.790353,1.998511,1.998166,1.996922,2.251163,1.99723,1.085209,2,1.998959,1.996537,1.736743,1.997653,1.995886,2.008372,2.427978,1.420187,1.998527,2,1.997836,1.997387,1.996663,2,1.998601,1.997173,1.996153,1.993405,1.103417,1.067691,1.990967,1.998826,2,1.995532,2,2.727147,1.997435,1.996257,1.994064,1.986898
"TCGA Liver","No",2.000469,2.787098,2.000347,2.000171,2.000072,2.000296,2.000258,2.000409,2.000269,2.000049,2.00043,2.000231,2.000219,2.000703,2.000574,2.000127,2.000942,2.000275,2,2.000135,2.000731,2.000545,2.000184,2.000326,2.000264,1.489893,2.000461,2.000538,2.00047,1.130716,2.932641,2.00076,1.064933,2,2.00057,1.148626,2.270619,2.000553,2.000698
"TCGA Liver","No",2.013062,3.592219,2.003998,2.01899,2.005508,2.015996,1.302479,2.006982,2.002582,2.002795,2.004131,1.369391,2.0021,2.006135,1.449952,3.95584,2.018073,2.739316,2,2.005164,2.002338,1.393008,1,2.773936,2.002529,2.008262,2.008852,2.017212,2.002253,2,2.027451,2,2.439482,2.13445,2.010935,2.00459,2.053822,1.064224,2.064102
"TCGA Liver","No",3.024021,3.822577,3.289425,3.920941,3.893053,3.210243,3.013748,2.066019,4.773867,3.126564,3.176731,3.065846,4.93997,2.323637,2.53562,5.576794,3.009547,2.826461,4.761456,2.587237,3.025939,3.008282,3.933925,3.968854,3.052506,1.831478,3.947665,2.204854,2.111739,2.106881,3.057199,3,2.398184,2.047274,2.798401,3.914347,3.895828,2.226186,3.003936
"TCGA Liver","No",1.678331,2.772731,2.000405,2.000416,2.000977,2.000461,2.000251,2.007838,2.000262,2.000378,2.001046,1.420652,2.729452,2.00087,1.424455,2.647305,2.002354,2.000134,2.000314,1.573832,2.000474,1.97666,2.000359,2.000254,2.000513,2.000837,1.977087,2.000698,1.691822,1.566855,2.052337,2,2.000405,2.000483,2.000739,2.000465,2.7044,2.000718,2.002036
"TCGA Liver","No",1.99445,2.730884,2.008382,2.017375,2.005197,2.032652,2.015591,2.007686,2,2.146374,2.010394,2.00696,2,2.007718,1.261768,5.383249,2.003248,2.004976,2,2.004872,2.926252,2.913006,2.008909,2.007874,1.283465,2.012126,2.014848,2.034646,1.294231,1.093735,2.013213,2,2.005029,2.011993,2.009171,2.005774,2.016855,2.008909,2.021069
"TCGA Liver","No",2.016847,2.805493,2.006418,2.007905,2.009948,2.019165,2.029843,1.987906,4.524869,3.948825,2,2.015987,2,2.014774,1.230832,5.89113,2.006217,2.012699,2,2.006217,2.011261,2.014382,2,2.009043,2.015226,2.016579,1.984356,2.024869,2.010852,2,2.010116,2.017555,2.019254,2.022956,2.035109,2,2.024197,1.18549,2.032263
"TCGA Liver","No",1.996855,2.741976,1.998428,1.999354,1.999458,2.070711,2.173176,1.575925,1.996954,1.998168,2.930084,1.746954,2.897479,1.997587,1.085639,1.998566,1.178361,1.040479,1.997563,1.997969,1.998161,1.998825,2,1.787386,1.997513,1.996209,1.995358,1.96816,1.086478,1.126196,1.998348,2,1.998428,2,1.995699,1.998195,1.996048,1.994429,1.99473
"TCGA Liver","No",3.049081,6.016531,3.994384,3.709179,3.994197,4.543271,2.134777,3.055105,5.911226,4.137613,4.057962,3.993005,3.997787,3.988365,2.373886,4.282098,3.99456,3.998611,6.896736,3.116839,3.688259,2.138286,2.267061,3.996043,3.996003,3.067622,3.968418,3.937191,3.992878,3.075603,5.137051,3.16879,3.542069,3.730769,3.984639,2.679524,3.992942,3.988808,3.303151
"TCGA Liver","No",1.776632,2.0048,2.006503,2.003504,3.494768,2.005548,2,2.004259,2.00315,2.002842,2.00252,2.0027,2.001281,2.002994,2.00336,4.456909,2.009449,2.717591,2,2.003937,1.040588,1.063884,2,2.012392,2.002314,1.552844,2.0036,2.0042,2.020931,1.133721,2.722114,1,1.034697,1.57983,2.002223,2.706503,2.681805,1.092194,2.018387
"TCGA Liver","No",4.13487,4.920812,3.981704,4.584758,4,3.980487,3,3.024279,5,3.115026,3.978731,3.088152,4,3.991576,2.779759,2.015437,3.991602,3.49865,2.078731,2.082011,3.959869,2.230982,2.849253,3.29014,3.01759,3.976367,3.944295,3.988184,3.984531,2.571705,3.97837,4,3.972556,3.203787,3.949954,3.984245,3.977006,2.334967,3.896527
"TCGA Liver","No",2.758778,6.009692,4.000793,4.000293,4.000491,4.000812,4.00118,4.001246,4.001229,4.000222,6.250737,4.000658,4.00025,4.000584,2.357522,5.863757,4,4.000314,3,3.052851,4.001669,4.000711,4.000421,4.000745,4.000602,4.000983,3.977595,3.169124,3.05535,4.000641,4.00075,4,2.807641,4.001134,4.001735,2.593139,4.433628,4.002528,4.00279
