sampleid;WGD
DRUP01330008T;Yes
TCGA-4T-AA8H;Yes
TCGA-5M-AAT4;Yes
TCGA-5M-AATE;Yes
TCGA-A6-2671;Yes
TCGA-A6-2674;Yes
TCGA-A6-2675;Yes
TCGA-A6-2683;Yes
TCGA-A6-2686;Yes
TCGA-A6-3807;Yes
TCGA-A6-3810;Yes
TCGA-A6-4107;Yes
TCGA-A6-5666;Yes
TCGA-A6-5667;Yes
TCGA-A6-6142;Yes
TCGA-A6-6648;Yes
TCGA-A6-6649;Yes
TCGA-A6-6650;Yes
TCGA-A6-A56B;Yes
TCGA-AA-3511;Yes
TCGA-AA-3517;Yes
TCGA-AA-3519;Yes
TCGA-AA-3521;Yes
TCGA-AA-3532;Yes
TCGA-AA-3548;Yes
TCGA-AA-3561;Yes
TCGA-AA-3688;Yes
TCGA-AA-3712;Yes
TCGA-AA-3846;Yes
TCGA-AA-3851;Yes
TCGA-AA-3856;Yes
TCGA-AA-3858;Yes
TCGA-AA-3866;Yes
TCGA-AA-3867;Yes
TCGA-AA-3875;Yes
TCGA-AA-3949;Yes
TCGA-AA-3955;Yes
TCGA-AA-3966;Yes
TCGA-AA-3989;Yes
TCGA-AA-A01C;Yes
TCGA-AA-A01T;Yes
TCGA-AA-A03J;Yes
TCGA-AD-6890;Yes
TCGA-AD-6963;Yes
TCGA-AG-3882;Yes
TCGA-AG-4007;Yes
TCGA-AG-4008;Yes
TCGA-AY-4071;Yes
TCGA-AY-A69D;Yes
TCGA-AY-A8YK;Yes
TCGA-AZ-5403;Yes
TCGA-AZ-6603;Yes
TCGA-AZ-6605;Yes
TCGA-AZ-6607;Yes
TCGA-CA-5254;Yes
TCGA-CA-5255;Yes
TCGA-CA-5256;Yes
TCGA-CA-6716;Yes
TCGA-CA-6719;Yes
TCGA-CK-4948;Yes
TCGA-CK-5914;Yes
TCGA-CK-5915;Yes
TCGA-CM-4752;Yes
TCGA-CM-5341;Yes
TCGA-CM-5860;Yes
TCGA-CM-6163;Yes
TCGA-CM-6164;Yes
TCGA-CM-6676;Yes
TCGA-CM-6679;Yes
TCGA-D3-A8GP;Yes
TCGA-D5-5539;Yes
TCGA-D5-6533;Yes
TCGA-D5-6535;Yes
TCGA-D5-6539;Yes
TCGA-D5-6898;Yes
TCGA-D5-6922;Yes
TCGA-D5-6924;Yes
TCGA-D5-6926;Yes
TCGA-D5-6932;Yes
TCGA-DM-A1D8;Yes
TCGA-DM-A28M;Yes
TCGA-DX-AB35;Yes
TCGA-F4-6704;Yes
TCGA-F4-6808;Yes
TCGA-F4-6855;Yes
TCGA-G4-6303;Yes
TCGA-G4-6307;Yes
TCGA-G4-6315;Yes
TCGA-G4-6317;Yes
TCGA-G4-6317;Yes
TCGA-G4-6626;Yes
TCGA-NH-A6GC;Yes
TCGA-NH-A8F7;Yes
TCGA-NH-A8F7;Yes
TCGA-QG-A5YV;Yes
TCGA-T9-A92H;Yes
TCGA-2Y-A9GU;Yes
TCGA-2Y-A9GY;Yes
TCGA-2Y-A9GZ;Yes
TCGA-2Y-A9H2;Yes
TCGA-2Y-A9H3;Yes
TCGA-2Y-A9H8;Yes
TCGA-3K-AAZ8;Yes
TCGA-5C-A9VG;Yes
TCGA-BC-A10Q;Yes
TCGA-BC-A10R;Yes
TCGA-BC-A10S;Yes
TCGA-BC-A112;Yes
TCGA-BC-A217;Yes
TCGA-BC-A5W4;Yes
TCGA-BC-A69H;Yes
TCGA-BD-A3EP;Yes
TCGA-BW-A5NO;Yes
TCGA-BW-A5NQ;Yes
TCGA-CC-5258;Yes
TCGA-CC-5261;Yes
TCGA-CC-5264;Yes
TCGA-CC-A1HT;Yes
TCGA-CC-A3MB;Yes
TCGA-CC-A5UC;Yes
TCGA-CC-A5UE;Yes
TCGA-CC-A7IE;Yes
TCGA-CC-A7IF;Yes
TCGA-CC-A7IG;Yes
TCGA-CC-A7II;Yes
TCGA-CC-A7IK;Yes
TCGA-CC-A8HV;Yes
TCGA-CC-A9FU;Yes
TCGA-CC-A9FW;Yes
TCGA-DD-A113;Yes
TCGA-DD-A115;Yes
TCGA-DD-A118;Yes
TCGA-DD-A11A;Yes
TCGA-DD-A1EF;Yes
TCGA-DD-A1EG;Yes
TCGA-DD-A1EI;Yes
TCGA-DD-A3A9;Yes
TCGA-DD-A4NA;Yes
TCGA-DD-A73E;Yes
TCGA-DD-A73G;Yes
TCGA-DD-AAC8;Yes
TCGA-DD-AACB;Yes
TCGA-DD-AACG;Yes
TCGA-DD-AACI;Yes
TCGA-DD-AACN;Yes
TCGA-DD-AACO;Yes
TCGA-DD-AACU;Yes
TCGA-DD-AACZ;Yes
TCGA-DD-AAD5;Yes
TCGA-DD-AAD8;Yes
TCGA-DD-AADA;Yes
TCGA-DD-AADD;Yes
TCGA-DD-AADF;Yes
TCGA-DD-AADL;Yes
TCGA-DD-AADN;Yes
TCGA-DD-AADO;Yes
TCGA-DD-AAE0;Yes
TCGA-DD-AAE3;Yes
TCGA-DD-AAE6;Yes
TCGA-DD-AAEK;Yes
TCGA-DD-AAVQ;Yes
TCGA-DD-AAVU;Yes
TCGA-DD-AAVV;Yes
TCGA-ED-A459;Yes
TCGA-ED-A66X;Yes
TCGA-ED-A66Y;Yes
TCGA-ED-A7PY;Yes
TCGA-ED-A7PZ;Yes
TCGA-ED-A82E;Yes
TCGA-ED-A8O5;Yes
TCGA-ED-A8O6;Yes
TCGA-ED-A97K;Yes
TCGA-EP-A12J;Yes
TCGA-ES-A2HS;Yes
TCGA-ES-A2HT;Yes
TCGA-FV-A3I0;Yes
TCGA-FV-A3R3;Yes
TCGA-FV-A496;Yes
TCGA-FV-A4ZP;Yes
TCGA-G3-A25S;Yes
TCGA-G3-A25T;Yes
TCGA-G3-A5SM;Yes
TCGA-G3-A7M5;Yes
TCGA-G3-A7M9;Yes
TCGA-G3-AAV1;Yes
TCGA-G3-AAV4;Yes
TCGA-G3-AAV6;Yes
TCGA-GJ-A9DB;Yes
TCGA-HP-A5MZ;Yes
TCGA-K7-A5RG;Yes
TCGA-KR-A7K2;Yes
TCGA-KR-A7K8;Yes
TCGA-MI-A75E;Yes
TCGA-NI-A8LF;Yes
TCGA-RC-A6M3;Yes
TCGA-RC-A6M4;Yes
TCGA-RC-A6M5;Yes
TCGA-RC-A7SK;Yes
TCGA-RG-A7D4;Yes
TCGA-UB-A7MA;Yes
TCGA-UB-A7ME;Yes
TCGA-UB-A7MF;Yes
TCGA-UB-AA0U;Yes
TCGA-WQ-A9G7;Yes
TCGA-WQ-AB4B;Yes
TCGA-XR-A8TF;Yes
TCGA-YA-A8S7;Yes
TCGA-ZS-A9CE;Yes
TCGA-ZS-A9CF;Yes
TCGA-05-4244;Yes
TCGA-05-4249;Yes
TCGA-05-4250;Yes
TCGA-05-4389;Yes
TCGA-05-4390;Yes
TCGA-05-4395;Yes
TCGA-05-4398;Yes
TCGA-05-4402;Yes
TCGA-05-4405;Yes
TCGA-05-4410;Yes
TCGA-05-4415;Yes
TCGA-05-4420;Yes
TCGA-05-4424;Yes
TCGA-05-4427;Yes
TCGA-05-4430;Yes
TCGA-05-4432;Yes
TCGA-05-5428;Yes
TCGA-18-3407;Yes
TCGA-18-3410;Yes
TCGA-18-3411;Yes
TCGA-18-3417;Yes
TCGA-18-3421;Yes
TCGA-21-1071;Yes
TCGA-21-1075;Yes
TCGA-21-1076;Yes
TCGA-21-5783;Yes
TCGA-21-5786;Yes
TCGA-22-1012;Yes
TCGA-22-4591;Yes
TCGA-22-4594;Yes
TCGA-22-4604;Yes
TCGA-22-4605;Yes
TCGA-22-5471;Yes
TCGA-22-5477;Yes
TCGA-22-5478;Yes
TCGA-22-5479;Yes
TCGA-22-5483;Yes
TCGA-22-5491;Yes
TCGA-22-A5C4;Yes
TCGA-33-4532;Yes
TCGA-33-4533;Yes
TCGA-33-4538;Yes
TCGA-33-4583;Yes
TCGA-33-4586;Yes
TCGA-33-4587;Yes
TCGA-33-4589;Yes
TCGA-33-AASD;Yes
TCGA-33-AASJ;Yes
TCGA-34-2605;Yes
TCGA-34-2609;Yes
TCGA-34-5231;Yes
TCGA-34-5236;Yes
TCGA-34-5239;Yes
TCGA-34-5241;Yes
TCGA-34-5928;Yes
TCGA-34-7107;Yes
TCGA-34-8455;Yes
TCGA-34-8456;Yes
TCGA-34-A5IX;Yes
TCGA-35-4122;Yes
TCGA-35-5375;Yes
TCGA-37-4130;Yes
TCGA-37-4133;Yes
TCGA-37-A5EL;Yes
TCGA-37-A5EN;Yes
TCGA-38-4628;Yes
TCGA-38-4631;Yes
TCGA-38-4632;Yes
TCGA-38-6178;Yes
TCGA-39-5016;Yes
TCGA-39-5028;Yes
TCGA-39-5031;Yes
TCGA-39-5035;Yes
TCGA-39-5037;Yes
TCGA-43-2576;Yes
TCGA-43-2581;Yes
TCGA-43-3394;Yes
TCGA-43-3920;Yes
TCGA-43-5668;Yes
TCGA-43-6143;Yes
TCGA-43-7657;Yes
TCGA-43-7658;Yes
TCGA-43-8118;Yes
TCGA-44-2656;Yes
TCGA-44-2659;Yes
TCGA-44-2662;Yes
TCGA-44-3917;Yes
TCGA-44-5644;Yes
TCGA-44-6775;Yes
TCGA-44-6778;Yes
TCGA-44-7660;Yes
TCGA-44-7667;Yes
TCGA-44-7669;Yes
TCGA-44-7670;Yes
TCGA-44-8119;Yes
TCGA-44-A47A;Yes
TCGA-44-A47B;Yes
TCGA-44-A47F;Yes
TCGA-44-A4SS;Yes
TCGA-46-3765;Yes
TCGA-46-3768;Yes
TCGA-46-3769;Yes
TCGA-46-6026;Yes
TCGA-49-4487;Yes
TCGA-49-4488;Yes
TCGA-49-4490;Yes
TCGA-49-4505;Yes
TCGA-49-4510;Yes
TCGA-49-4512;Yes
TCGA-49-6742;Yes
TCGA-49-6745;Yes
TCGA-49-6761;Yes
TCGA-49-6767;Yes
TCGA-49-AARO;Yes
TCGA-49-AARQ;Yes
TCGA-50-5051;Yes
TCGA-50-5066;Yes
TCGA-50-5935;Yes
TCGA-50-5944;Yes
TCGA-50-6591;Yes
TCGA-50-6594;Yes
TCGA-50-6673;Yes
TCGA-51-4081;Yes
TCGA-52-7811;Yes
TCGA-53-7624;Yes
TCGA-53-7813;Yes
TCGA-53-A4EZ;Yes
TCGA-55-1592;Yes
TCGA-55-1594;Yes
TCGA-55-1595;Yes
TCGA-55-1596;Yes
TCGA-55-6712;Yes
TCGA-55-6971;Yes
TCGA-55-6972;Yes
TCGA-55-6981;Yes
TCGA-55-6984;Yes
TCGA-55-7281;Yes
TCGA-55-7283;Yes
TCGA-55-7573;Yes
TCGA-55-7726;Yes
TCGA-55-7815;Yes
TCGA-55-7907;Yes
TCGA-55-7910;Yes
TCGA-55-7911;Yes
TCGA-55-7994;Yes
TCGA-55-8090;Yes
TCGA-55-8092;Yes
TCGA-55-8203;Yes
TCGA-55-8205;Yes
TCGA-55-8206;Yes
TCGA-55-8207;Yes
TCGA-55-8506;Yes
TCGA-55-8511;Yes
TCGA-55-8514;Yes
TCGA-55-8614;Yes
TCGA-55-8615;Yes
TCGA-55-8616;Yes
TCGA-55-A48Z;Yes
TCGA-55-A490;Yes
TCGA-55-A492;Yes
TCGA-55-A494;Yes
TCGA-55-A4DF;Yes
TCGA-55-A4DG;Yes
TCGA-56-5898;Yes
TCGA-56-6545;Yes
TCGA-56-7222;Yes
TCGA-56-7580;Yes
TCGA-56-7582;Yes
TCGA-56-7730;Yes
TCGA-56-7822;Yes
TCGA-56-8201;Yes
TCGA-56-8305;Yes
TCGA-56-8307;Yes
TCGA-56-8308;Yes
TCGA-56-8504;Yes
TCGA-56-8624;Yes
TCGA-56-8629;Yes
TCGA-56-A4BY;Yes
TCGA-56-A62T;Yes
TCGA-58-8386;Yes
TCGA-58-A46J;Yes
TCGA-58-A46M;Yes
TCGA-60-2698;Yes
TCGA-60-2703;Yes
TCGA-60-2706;Yes
TCGA-60-2709;Yes
TCGA-60-2711;Yes
TCGA-60-2714;Yes
TCGA-60-2722;Yes
TCGA-62-8394;Yes
TCGA-62-8397;Yes
TCGA-62-8398;Yes
TCGA-62-8402;Yes
TCGA-62-A46S;Yes
TCGA-62-A46U;Yes
TCGA-62-A471;Yes
TCGA-62-A472;Yes
TCGA-63-5128;Yes
TCGA-63-5131;Yes
TCGA-63-7020;Yes
TCGA-63-A5M9;Yes
TCGA-63-A5MB;Yes
TCGA-63-A5MI;Yes
TCGA-63-A5MJ;Yes
TCGA-63-A5MS;Yes
TCGA-63-A5MU;Yes
TCGA-63-A5MW;Yes
TCGA-64-1679;Yes
TCGA-64-1681;Yes
TCGA-64-5775;Yes
TCGA-66-2727;Yes
TCGA-66-2742;Yes
TCGA-66-2755;Yes
TCGA-66-2756;Yes
TCGA-66-2759;Yes
TCGA-66-2767;Yes
TCGA-66-2769;Yes
TCGA-66-2777;Yes
TCGA-66-2781;Yes
TCGA-66-2785;Yes
TCGA-66-2787;Yes
TCGA-66-2793;Yes
TCGA-67-6217;Yes
TCGA-68-7755;Yes
TCGA-68-8250;Yes
TCGA-69-7760;Yes
TCGA-69-7761;Yes
TCGA-69-7973;Yes
TCGA-69-7974;Yes
TCGA-69-7979;Yes
TCGA-69-7980;Yes
TCGA-69-8253;Yes
TCGA-69-8255;Yes
TCGA-73-4659;Yes
TCGA-73-4666;Yes
TCGA-73-4668;Yes
TCGA-73-4675;Yes
TCGA-73-4677;Yes
TCGA-73-7499;Yes
TCGA-75-5125;Yes
TCGA-75-5147;Yes
TCGA-75-6211;Yes
TCGA-75-7025;Yes
TCGA-75-7027;Yes
TCGA-75-7031;Yes
TCGA-77-6845;Yes
TCGA-77-7139;Yes
TCGA-77-7141;Yes
TCGA-77-7142;Yes
TCGA-77-7463;Yes
TCGA-77-8007;Yes
TCGA-77-8009;Yes
TCGA-77-8128;Yes
TCGA-77-8130;Yes
TCGA-77-8133;Yes
TCGA-77-8139;Yes
TCGA-77-8143;Yes
TCGA-77-8144;Yes
TCGA-77-8148;Yes
TCGA-77-8150;Yes
TCGA-77-8156;Yes
TCGA-77-A5G6;Yes
TCGA-77-A5G8;Yes
TCGA-78-7145;Yes
TCGA-78-7147;Yes
TCGA-78-7149;Yes
TCGA-78-7150;Yes
TCGA-78-7154;Yes
TCGA-78-7159;Yes
TCGA-78-7161;Yes
TCGA-78-7167;Yes
TCGA-78-7536;Yes
TCGA-78-7539;Yes
TCGA-78-7542;Yes
TCGA-78-8655;Yes
TCGA-80-5608;Yes
TCGA-80-5611;Yes
TCGA-85-6798;Yes
TCGA-85-7843;Yes
TCGA-85-7844;Yes
TCGA-85-7950;Yes
TCGA-85-8052;Yes
TCGA-85-8072;Yes
TCGA-85-8276;Yes
TCGA-85-8287;Yes
TCGA-85-8350;Yes
TCGA-85-8354;Yes
TCGA-85-8664;Yes
TCGA-85-8666;Yes
TCGA-85-A4JB;Yes
TCGA-85-A4JC;Yes
TCGA-85-A4QR;Yes
TCGA-85-A50M;Yes
TCGA-85-A511;Yes
TCGA-86-6562;Yes
TCGA-86-6851;Yes
TCGA-86-7713;Yes
TCGA-86-7953;Yes
TCGA-86-7954;Yes
TCGA-86-7955;Yes
TCGA-86-8055;Yes
TCGA-86-8056;Yes
TCGA-86-8074;Yes
TCGA-86-8075;Yes
TCGA-86-8279;Yes
TCGA-86-8358;Yes
TCGA-86-8359;Yes
TCGA-86-8668;Yes
TCGA-86-8669;Yes
TCGA-86-A4JF;Yes
TCGA-90-A4ED;Yes
